Y,X,id,typeKnoop
487053.100000001,126010.800000001,"14068359",Uitlaat vuilwater nooduitlaat
488442.1331,122691.223299999,"14068862",(externe) Overstortput
485066.942700002,124332.430199999,"14069001",(externe) Overstortput
478762.910000002,131197.420000002,"14069135",(externe) Overstortput
483841.4,115197.0,"14069181",Uitlaat vuilwater nooduitlaat
487685.800000003,112944.5,"14069191",Uitlaat vuilwater nooduitlaat
488464.499999999,125978.800000001,"14069408",(externe) Overstortput
486170.5,125118.300000001,"14069513",Uitlaat vuilwater nooduitlaat
483387.199999999,115131.600000001,"14069523",Uitlaat vuilwater nooduitlaat
480922.8747,130497.536800001,"14069944",Interne Overstortput
486426.500000001,113950.5,"14070009",Uitlaat vuilwater nooduitlaat
491635.2,121430.100000002,"14070378",Uitlaat gemengde overstort
489005.780000003,123543.559999999,"14070660",(externe) Overstortput
480102.750000002,131338.739999998,"14070719",(externe) Overstortput
486552.460000004,120587.989999998,"14070765",(externe) Overstortput
484252.690000004,114106.460000001,"14070834",Uitlaat vuilwater nooduitlaat
489347.420000003,119164.739999998,"14070916",Uitlaat vuilwater nooduitlaat
487079.000000002,119255.0,"14071396",(externe) Overstortput
486402.540000001,121089.460000001,"14071555",Uitlaat gemengde overstort
488696.660000003,125942.399999999,"14071693",Uitlaat vuilwater nooduitlaat
491655.2117,120906.784600001,"14071964",Interne Overstortput
489132.010000003,120587.199999999,"14072019",Interne Overstortput
486881.399999999,119725.5,"14072494",(externe) Overstortput
489370.220000002,124087.379999999,"14072631",Uitlaat gemengde overstort
487902.300000004,127935.199999999,"14072646",Uitlaat vuilwater nooduitlaat
489548.500000001,128188.100000002,"14072943",Uitlaat vuilwater nooduitlaat
485277.280000004,120924.84,"14072982",(externe) Overstortput
487219.660000002,121044.239999998,"14073187",Uitlaat gemengde overstort
488582.19,114197.530000001,"14073206",Uitlaat vuilwater nooduitlaat
488261.79,119285.640000001,"14073521",Uitlaat gemengde overstort
485210.800000001,123505.0,"14073674",Uitlaat gemengde overstort
486143.170000002,122287.329999998,"14073837",(externe) Overstortput
477548.629999999,138344.859999999,"14073938",(externe) Overstortput
486757.700000003,113798.600000001,"14073946",Uitlaat vuilwater nooduitlaat
489530.800000001,128130.600000001,"14074154",Uitlaat vuilwater nooduitlaat
484696.390000005,119086.420000002,"14074247",Overstort met signalering
491419.890000001,126038.050000001,"14074291",Uitlaat vuilwater nooduitlaat
491442.43,126283.649999999,"14074334",Uitlaat vuilwater nooduitlaat
491801.980000002,126789.550000001,"14074561",Uitlaat vuilwater nooduitlaat
486311.617,119516.0711,"14074763",(externe) Overstortput
484049.899999998,114802.949999999,"14074768",Uitlaat vuilwater nooduitlaat
491764.300000002,130883.699999999,"14074781",Uitlaat vuilwater nooduitlaat
486705.800000001,113407.0,"14075159",Uitlaat vuilwater nooduitlaat
483925.2,116306.0,"14075360",Uitlaat vuilwater nooduitlaat
486332.3,123383.699999999,"14075472",(externe) Overstortput
488559.480000001,126166.719999999,"14075539",Uitlaat vuilwater nooduitlaat
479164.850000004,131534.760000002,"14075609",Uitlaat gemengde overstort
483634.300000001,114643.699999999,"14075710",Uitlaat vuilwater nooduitlaat
489090.239999999,122270.670000002,"14075747",Uitlaat gemengde overstort
487543.15,124191.219999999,"14075851",Uitlaat vuilwater nooduitlaat
490483.000000001,122793.0,"14075979",Uitlaat vuilwater nooduitlaat
480758.052299998,130875.0986,"14076038",(externe) Overstortput
479757.699999999,129261.399999999,"14076268",Uitlaat vuilwater nooduitlaat
488577.000000002,123135.449999999,"14076336",Uitlaat gemengde overstort
488875.429999999,120963.16,"14076489",Uitlaat gemengde overstort
488140.0,112415.100000001,"14076664",Uitlaat vuilwater nooduitlaat
483124.379999999,120964.690000001,"14076672",Uitlaat vuilwater nooduitlaat
489350.48,124292.800000001,"14076716",Uitlaat vuilwater nooduitlaat
